VX,VY
-8.087559,5.899187
-6.148890,9.552456
-4.564372,9.184117
-3.893146,8.226570
-4.068776,8.028882
-4.454362,5.867507
-4.883048,3.532681
-6.282101,2.168678
-6.981763,1.049486
-6.651728,0.689349
-6.790456,1.860681
-7.477961,3.779709
-7.328731,3.899105
-6.645270,1.770593
-6.505614,-0.611596
-7.280973,-2.430266
-7.617978,-4.656043
-6.609798,-8.413465
-5.358701,-12.164572
-4.740325,-14.482497
-4.766140,-15.213465
-4.640914,-15.414371
-4.729639,-13.803286
-4.569476,-11.822695
-4.714240,-10.224799
-5.587725,-8.916146
-5.716266,-8.113252
-5.160633,-7.117392
-4.310756,-6.007601
-3.485607,-4.434586
-2.685566,-2.669587
-2.121526,-0.624855
-1.777905,1.207007
-1.350918,3.156005
-0.890017,5.218935
-0.574460,7.290615
-0.276325,9.121855
-0.050514,10.827275
0.317091,12.351341
0.582068,13.951482
0.529220,15.745324
0.187350,17.606487
-0.016739,18.620281
-0.294345,17.757185
-0.972019,13.153183
-1.639472,7.115638
-3.128917,3.045574
