X,Y
-1.5,-51
-3,-51
-4.5,-51
-6,-51
-7.5,-51
-9,-51
-10.5,-51
-12,-51
-13.5,-51
-15,-51
-16.5,-51
-18,-51
-19.5,-51
-21,-51
-22.5,-51
-24,-51
-25.5,-51
-27,-51
-28.5,-51
-30,-51
-31.5,-51
-33,-51
-34.5,-51
-36,-51
-37.5,-51
-39,-51
-40.5,-51
-42,-51
-43.5,-51
-45,-51
-46.5,-51
-48,-51
-49.5,-51
-51,-51
-52.5,-51
-54,-51
-55.5,-51
-57,-51
-58.5,-51
-60,-51
-61.5,-51
-63,-51
-64.5,-51
-66,-51
-67.5,-51
-69,-51
-70.5,-51
0,-52.5
-1.5,-52.5
-3,-52.5
-4.5,-52.5
-6,-52.5
-7.5,-52.5
-9,-52.5
-10.5,-52.5
-12,-52.5
-13.5,-52.5
-15,-52.5
-16.5,-52.5
-18,-52.5
-19.5,-52.5
-21,-52.5
-22.5,-52.5
-24,-52.5
-25.5,-52.5
-27,-52.5
-28.5,-52.5
-30,-52.5
-31.5,-52.5
-33,-52.5
-34.5,-52.5
-36,-52.5
-37.5,-52.5
-39,-52.5
-40.5,-52.5
-42,-52.5
-43.5,-52.5
-45,-52.5
-46.5,-52.5
-48,-52.5
-49.5,-52.5
-51,-52.5
-52.5,-52.5
-54,-52.5
-55.5,-52.5
-57,-52.5
-58.5,-52.5
-60,-52.5
-61.5,-52.5
-63,-52.5
-64.5,-52.5
-66,-52.5
-67.5,-52.5
-69,-52.5
-70.5,-52.5
0,-54
-1.5,-54
-3,-54
-4.5,-54
-6,-54
-7.5,-54
-9,-54
-10.5,-54
-12,-54
-13.5,-54
-15,-54
-16.5,-54
-18,-54
-19.5,-54
-21,-54
-22.5,-54
-24,-54
-25.5,-54
-27,-54
-28.5,-54
-30,-54
-31.5,-54
-33,-54
-34.5,-54
-36,-54
-37.5,-54
-39,-54
-40.5,-54
-42,-54
-43.5,-54
-45,-54
-46.5,-54
-48,-54
