V,U
1.466921,-1.25
1.786921,-3.41
0.8669214,-5.58
-1.263079,-6.99
-2.913079,-8.19
-4.073079,-9.34
-5.623078,-11.07
-7.263078,-14.75
-7.283079,-17.24
-6.203078,-14.53
-4.893078,-11.31
-3.503078,-12.22
-5.133079,-14.3
-7.813078,-14.76
-7.903079,-13.76
-6.873078,-11.97
-5.333078,-11.11
-4.343079,-12.73
-1.653079,-15.41
3.786921,-15.72
6.086921,-14.69
10.20692,-13.3
17.26692,-9.12
18.11692,-5.14
14.87692,-5.32
10.18692,-2.94
3.416921,-2.22
1.866921,-2.21
1.436921,9.04
0.5369214,9.349999
0.5269214,10.19
1.706921,10.79
2.936921,11.04
4.296921,11.73
4.796921,12.23
4.156921,11.71
4.116921,11.38
4.906921,11.3
6.146921,10.62
6.806921,10.02
6.276921,9.67
5.496921,9.099999
4.526921,8.2
4.766921,6.64
6.566921,5.22
6.716921,4.36
5.966921,3.26
5.676921,1.64
4.726921,-0.4
3.496921,-2.51
2.066921,-4.4
-0.013078613,-5.85
-1.953079,-6.71
-3.173079,-7.89
-3.903079,-9.74
-4.243079,-11.55
-4.603078,-13.13
-6.713078,-13.52
-8.033078,-12.31
-4.683078,-10.28
-3.043079,-9.309999
-6.113079,-10.38
-7.663078,-11.76
