Y,X,VY,VX
-60,45,2.64001,-7.456213
-36,22.5,-14.44999,-1.846213
-34.5,22.5,-14.34999,-2.966213
-33,22.5,-13.90998,-3.866213
-31.5,22.5,-12.66998,-5.206213
-30,22.5,-11.16998,-6.966213
-28.5,22.5,-9.659986,-8.686213
-27,22.5,-7.299985,-9.176213
-25.5,22.5,-5.609985,-7.656213
-24,22.5,-3.419985,-4.346213
-22.5,22.5,-0.7299854,1.133787
-21,22.5,0.6500146,3.893786
-19.5,22.5,1.210015,3.803787
-18,22.5,1.870015,1.163787
-16.5,22.5,-1.649985,-3.206213
-15,22.5,-8.439985,-2.506213
-13.5,22.5,-12.46999,1.653787
-12,22.5,-14.49998,1.713787
-10.5,22.5,-14.87998,1.203787
-9,22.5,-14.33998,1.413787
-7.5,22.5,-13.71999,0.5537866
-6,22.5,-11.56999,-0.9362134
-4.5,22.5,-10.35999,-2.116213
-3,22.5,-8.299985,-3.166213
-1.5,22.5,-6.779985,-3.436213
0,22.5,-5.179985,-1.656213
-60,21,-9.599985,-0.3962134
-58.5,21,-9.209985,-3.466213
-57,21,-8.899985,-2.516213
-55.5,21,-9.409986,-1.466213
-54,21,-9.679985,-2.916213
-52.5,21,-9.439985,-2.166213
-51,21,-9.109985,-2.386213
-49.5,21,-10.19999,-4.026213
-48,21,-11.87998,-2.066213
-46.5,21,-9.569985,1.193787
-45,21,-8.009985,1.683787
-43.5,21,-10.30999,0.0438
-42,21,-11.39999,-0.7362134
-40.5,21,-13.01999,-1.596213
-39,21,-14.82998,-1.046213
-37.5,21,-15.20998,-1.166213
-36,21,-15.63999,-2.766213
-34.5,21,-16.02999,-4.456213
-33,21,-15.03998,-4.816213
-31.5,21,-13.78998,-5.466213
-30,21,-11.58998,-6.196213
-28.5,21,-8.439985,-6.196213
-27,21,-5.549985,-6.036213
-25.5,21,-3.269985,-4.366213
-24,21,-0.1299853,-1.356213
-22.5,21,0.3900146,2.543787
-21,21,-1.399985,3.353786
-19.5,21,-3.389985,1.903787
-18,21,-6.939985,-2.206213
-16.5,21,-10.09999,-4.876213
-15,21,-12.92999,-1.046213
-13.5,21,-13.79998,2.983787
-12,21,-14.93999,2.423787
-10.5,21,-14.23999,0.1837866
-9,21,-11.39999,-1.876213
-7.5,21,-10.36999,-2.466213
-6,21,-8.939985,-2.626213
-4.5,21,-7.939985,-1.936213
-3,21,-6.389985,-2.156213
-1.5,21,-5.349985,-1.686213
0,21,-4.679985,0.3737866
-60,19.5,-11.70998,0.3037866
-58.5,19.5,-9.629985,-2.016213
-57,19.5,-8.169985,-2.056213
-55.5,19.5,-9.229985,-1.546213
-54,19.5,-9.599985,-2.666213
-52.5,19.5,-9.019985,-2.256213
-51,19.5,-8.719985,-2.176213
-49.5,19.5,-10.62998,-2.246213
-48,19.5,-12.12998,-1.836213
-46.5,19.5,-10.80999,-1.966213
-45,19.5,-11.42999,-0.2662134
-43.5,19.5,-11.86998,-0.6762134
-42,19.5,-11.89999,-1.376213
-40.5,19.5,-13.27999,-1.126213
-39,19.5,-13.78998,-1.406213
-37.5,19.5,-15.10999,-1.896213
-36,19.5,-15.10999,-2.576213
-34.5,19.5,-14.78998,-3.176213
-33,19.5,-13.96999,-3.826213
-31.5,19.5,-11.97999,-4.606213
-30,19.5,-8.759985,-4.416214
-28.5,19.5,-6.349985,-3.436213
-27,19.5,-4.259985,-2.576213
-25.5,19.5,-3.089985,-1.816213
-24,19.5,-2.969985,-0.3362134
-22.5,19.5,-4.579985,1.323787
-21,19.5,-5.899985,0.7837866
-19.5,19.5,-7.929985,-2.656213
-18,19.5,-10.11999,-5.006213
-16.5,19.5,-8.879985,-1.176213
-15,19.5,-8.829986,2.823786
-13.5,19.5,-10.15999,3.723787
